,gene,score,p-value
7082,Lmo3,-0.31995993543366713,4.017513985277334e-09
9221,Nudt4,-0.31986351878539515,4.0632313478613955e-09
8311,Sez6l2,-0.3197868971871091,4.099921593823253e-09
13156,Eif1,-0.3190135253973157,4.4886806988006705e-09
4811,Clic4,-0.31789232418930313,5.116328866638564e-09
9750,Klhl2,-0.31648828431436576,6.022913450912959e-09
6266,Tac1,-0.31590867302833014,6.440908097194609e-09
8498,Taldo1,-0.31510806887098836,7.064732486261273e-09
2051,Prnp,-0.314834502812376,7.2910028074053045e-09
8742,Wasf1,-0.3134942747504713,8.504788814224053e-09
7545,Aplp1,-0.31280780809654146,9.200029207142398e-09
650,Cntn2,-0.31159790139096394,1.0561480847268414e-08
5069,Tmem88b,-0.3115877042074393,1.0573744524514808e-08
942,Pea15a,-0.31017809976425575,1.240837618930222e-08
12513,Arf1,-0.3099973500990343,1.2664807749637383e-08
1539,Ermn,-0.3090638387490833,1.4072927084666698e-08
15070,Zfp706,-0.3071863519466244,1.7377494043784353e-08
14865,Meg3,-0.3067351112289727,1.827710566982468e-08
12481,Gria1,-0.3061397517516392,1.9533136305726832e-08
10920,Nefl,-0.30578069622500287,2.0330533253185704e-08
12476,Sparc,-0.304692123054891,2.2945004535417764e-08
5277,Ppp1cb,-0.30404193871767216,2.4658489952338606e-08
5703,Chek2,-0.3039566028352123,2.4892357983840058e-08
13608,Amph,-0.3029722800423129,2.774968142671152e-08
7670,Josd2,-0.3028793333501789,2.803529654376297e-08
1467,Gsn,-0.3005812590435941,3.60715010731824e-08
