cpd_HYL,'IVH_1d_110', 'IVH_1d_130', 'IVH_1d_150', 'IVH_1d_20', 'IVH_1d_50', 'IVH_1d_80', 'AVG'
IVH_1d-[fxs_MB]up--(Gnas_Pth1r.csv),1.025785211,1.054252278,1.060357863,1.066036571,0.947605707,1.091542216,1.040929974
HYL_TH,'IVH_1d_110', 'IVH_1d_130', 'IVH_1d_150', 'IVH_1d_20', 'IVH_1d_50', 'IVH_1d_80', 'AVG'
IVH_1d-[HYL_TH]up--(Adcyap1_Ramp3.csv),1.017250863,1.08064885,1.021331009,1.075333754,1.004892593,1.056285959,1.042623838
IVH_1d-[HYL_TH]up--(Adm2_Ramp3.csv),1,1,1,0.984325623,1,1,0.997387604
IVH_1d-[HYL_TH]up--(Cck_Cckar .csv),1,1,1,1,1,1,1
IVH_1d-[HYL_TH]up--(Cck_Cckbr.csv),0.717267979,0.742943155,0.701102675,0.720272565,0.727240139,0.709012342,0.719639809
IVH_1d-[HYL_TH]up--(Cx3cl1_Cx3cr1.csv),0.865027039,0.911556918,0.856357437,0.916170228,0.881600267,0.908068077,0.889796661
IVH_1d-[HYL_TH]up--(Cx3cl1_Itga4.csv),0.862891458,0.884177686,0.887713035,0.903818231,0.898192035,0.886136121,0.887154761
IVH_1d-[HYL_TH]up--(Cx3cl1_Itgav.csv),0.77938764,0.911406769,0.775560925,0.834987006,0.836617648,0.866899542,0.834143255
IVH_1d-[HYL_TH]up--(Cx3cl1_Itgb1.csv),0.844402356,0.895521999,0.829381794,0.909645168,0.865262326,0.882941124,0.871192461
IVH_1d-[HYL_TH]up--(Cx3cl1_Itgb3.csv),0.993947369,0.992373262,1.025449933,1.004043148,1.009404389,0.975115335,1.000055572
IVH_1d-[HYL_TH]up--(Iapp_Ramp3.csv),1,1,1,1,1,1,1
IVH_1d-[HYL_TH]up--(Ntng1_Lrrc4.csv),1.148171802,1.207321471,1.139066908,1.206509759,1.191705296,1.274289595,1.194510805
IVH_1d-[HYL_TH]up--(Vip_Ramp3.csv),0.98558913,0.973136397,0.978640551,0.997572858,0.987602927,0.970134878,0.98211279
I_RSP,'IVH_1d_110', 'IVH_1d_130', 'IVH_1d_150', 'IVH_1d_20', 'IVH_1d_50', 'IVH_1d_80', 'AVG'
IVH_1d-[I_RSP]up--(Calm2_Adcy8.csv),1.05623385,0.963728874,1.010047699,0.998626195,0.989791707,1.017146222,1.005929091
IVH_1d-[I_RSP]up--(Calm2_Cacna1c.csv),0.933089419,0.857408568,0.850213454,0.866175331,0.84353022,0.894967277,0.874230711
IVH_1d-[I_RSP]up--(Calm2_Grm7.csv),0.962544142,0.961485791,0.916659903,0.978809015,0.962471847,0.954440706,0.956068567
IVH_1d-[I_RSP]up--(Calm2_Kcnq3.csv),0.981733708,0.904900207,0.920232659,0.903749443,0.887816756,0.92347897,0.920318624
