Unnamed: 0,gene,score,p-value
18176,Mbp,0.716643181750266,4.017506671923432e-96
803,Ier5,0.683949343253817,5.419431737878456e-65
15458,Ckb,0.6633150536195377,1.0550052089374056e-77
12516,Mobp,0.6621744101824185,2.376060558057766e-77
6656,Trbc2,0.6553831243828073,4.860208924242039e-58
1437,1110008P14Rik,0.6291026946169987,2.881788485550723e-43
11710,Nrgn,0.626541128928183,9.522118864007763e-52
17251,Egr1,0.6218258026844246,2.835915113530236e-52
15208,Arc,0.621774384739437,2.907093468282836e-52
3063,Plp1,0.6203396451987933,2.0579823508607543e-65
13458,Sept4,0.6163402519671245,2.2976344446790808e-64
8352,Plekhb1,0.5922770443227776,2.2898426668239803e-58
15478,Ighm,0.5856648950945065,6.924944559245447e-44
13657,Cnp,0.5734477207243383,5.166045696991223e-54
17939,Fth1,0.572532904988043,1.781365213580218e-34
3296,Cldn11,0.5703441044937272,2.5347951199027908e-53
7842,Mag,0.5661456675655592,2.1222472251880036e-52
2066,Mal,0.5426891247969445,1.7672244318261405e-47
4518,Slc24a2,0.5405242125539615,2.0865468713037163e-36
7086,Atp2b2,0.5345009393152546,1.7132852367093598e-35
2132,Chgb,0.5276743241372119,1.783708423874174e-36
12286,Trf,0.5255844651673729,3.9642223511623163e-44
5562,Qdpr,0.5031938635088397,5.077764852476461e-40
5099,Efhd2,0.5022681539370889,7.396320063821174e-40
11871,Cryab,0.4963242885985738,8.053578522951005e-39
17377,Mog,0.4956327215093298,1.0600400633894943e-38
15306,Pvalb,0.494838790339198,9.085737623108165e-31
2489,Bcas1,0.4943587106267913,1.75568451708128e-38
16507,Apod,0.4942431942397101,7.888931998969631e-30
2567,Rps21,0.4939184272122051,2.0890989842127048e-38
