CA1_DG,'IVH_7d_110', 'IVH_7d_50', 'IVH_7d_80', 'AVG'
IVH_7d-[fxs_CA3]up--(Agrn_Atp1a3.csv),0.89496966,0.796286913,0.834711435,0.841989336
IVH_7d-[fxs_CA3]up--(Calm1_Adcy8.csv),0.825103943,0.838090448,0.840361093,0.834518494
IVH_7d-[fxs_CA3]up--(Calm1_Cacna1c.csv),0.85753778,0.844244286,0.885755117,0.862512394
IVH_7d-[fxs_CA3]up--(Calm1_Cnga2.csv),1.010621343,0.946950938,1.006789015,0.988120432
IVH_7d-[fxs_CA3]up--(Calm1_Fas.csv),0.982807717,1.025866111,0.980394479,0.996356102
IVH_7d-[fxs_CA3]up--(Calm1_Grm4.csv),0.87198914,0.872767964,0.883306437,0.876021181
IVH_7d-[fxs_CA3]up--(Calm1_Kcnn4.csv),1.03512523,0.960205083,1.014682314,1.003337542
IVH_7d-[fxs_CA3]up--(Calm1_Kcnq1.csv),1.0265618,0.960510643,0.98091636,0.989329601
IVH_7d-[fxs_CA3]up--(Calm1_Kcnq3.csv),0.870915251,0.809933765,0.863636131,0.848161715
IVH_7d-[fxs_CA3]up--(Calm1_Mip.csv),1,0.950619933,1,0.983539978
IVH_7d-[fxs_CA3]up--(Calm1_Mylk.csv),0.937049431,0.920433101,0.946099362,0.934527298
IVH_7d-[fxs_CA3]up--(Calm1_Oprm1.csv),1,0.959564657,1,0.986521552
IVH_7d-[fxs_CA3]up--(Calm1_Scn10a.csv),0.982896247,0.972182057,0.966683052,0.973920452
IVH_7d-[fxs_CA3]up--(Calm1_Scn4a.csv),1,1,1,1
IVH_7d-[fxs_CA3]up--(Calm1_Sell.csv),1,0.966160141,0.995833268,0.987331136
IVH_7d-[fxs_CA3]up--(Calm1_Trpc5.csv),1.008954601,0.949831997,0.998355913,0.985714171
IVH_7d-[fxs_CA3]up--(Calm2_Adcy8.csv),0.858081647,0.839866642,0.859022426,0.852323572
IVH_7d-[fxs_CA3]up--(Calm2_Cacna1c.csv),0.922536568,0.827042005,0.917011264,0.888863279
IVH_7d-[fxs_CA3]up--(Calm2_Grm7.csv),0.937527446,0.873188695,0.910975817,0.907230653
IVH_7d-[fxs_CA3]up--(Calm2_Kcnq3.csv),0.959206796,0.820601168,0.90843326,0.896080408
IVH_7d-[fxs_CA3]up--(Calm2_Mylk.csv),0.963887253,0.910363569,0.981678083,0.951976302
IVH_7d-[fxs_CA3]up--(Calm2_Scn10a.csv),0.992605039,0.971709757,0.973010952,0.979108583
IVH_7d-[fxs_CA3]up--(Calm2_Scn4a.csv),1,1,1,1
IVH_7d-[fxs_CA3]up--(Calm2_Trpc5.csv),1.01627527,0.950458129,1.004434406,0.990389268
IVH_7d-[fxs_CA3]up--(Cck_Cckar.csv),1.007256345,0.939648615,0.968628774,0.971844578
IVH_7d-[fxs_CA3]up--(Cck_Cckbr.csv),0.874795829,0.908573024,0.882566365,0.888645073
HYL_TH,'IVH_7d_110', 'IVH_7d_50', 'IVH_7d_80', 'AVG'
IVH_7d-[HYL_TH]up--(Adcyap1_Ramp3.csv),1.093169977,1.036841435,1.062584006,1.064198473
IVH_7d-[HYL_TH]up--(Adm2_Ramp3.csv),1,1,1,1
IVH_7d-[HYL_TH]up--(Cck_Cckar.csv),1.059020274,1.050036252,1.072568135,1.060541554
IVH_7d-[HYL_TH]up--(Cck_Cckbr.csv),0.742106975,0.721859756,0.769255113,0.744407282
IVH_7d-[HYL_TH]up--(Fyn_Thy1.csv),1.078045653,1.192511085,1.146718252,1.139091664
IVH_7d-[HYL_TH]up--(Iapp_Ramp3.csv),1,1,1,1
IVH_7d-[HYL_TH]up--(Ntng1_Lrrc4c.csv),1.162054653,1.241066697,1.173738956,1.192286769
IVH_7d-[HYL_TH]up--(Vip_Ramp3.csv),1.011551544,0.954219536,0.921745124,0.962505402
I_II-III-IV,'IVH_7d_110', 'IVH_7d_50', 'IVH_7d_80', 'AVG'
IVH_7d-[I_II-III-IV]up--(App_Adra2a.csv),0.874798619,0.82113831,0.85544221,0.850459713
IVH_7d-[I_II-III-IV]up--(App_Casr.csv),1.053020778,1.062224235,1.048562397,1.05460247
IVH_7d-[I_II-III-IV]up--(App_Cav1.csv),0.907969656,0.873975907,0.918695308,0.900213624
IVH_7d-[I_II-III-IV]up--(App_Cd47.csv),0.61832682,0.456182473,0.645780812,0.573430035
IVH_7d-[I_II-III-IV]up--(App_Cd74.csv),0.987332521,0.899533163,1.086013415,0.9909597
IVH_7d-[I_II-III-IV]up--(App_Dcc.csv),1.064591188,1,1.062254046,1.042281745
IVH_7d-[I_II-III-IV]up--(App_Drd3.csv),1,1,1,1
IVH_7d-[I_II-III-IV]up--(App_Fpr2.csv),1.060933977,1.05983965,1.185527566,1.102100398
IVH_7d-[I_II-III-IV]up--(App_Gpr3.csv),0.92457587,0.88511008,0.92680142,0.912162456
IVH_7d-[I_II-III-IV]up--(App_Lrp1.csv),0.648438751,0.526072082,0.695835056,0.62344863
IVH_7d-[I_II-III-IV]up--(App_Lrp10.csv),0.711638399,0.676015262,0.752223297,0.713292319
IVH_7d-[I_II-III-IV]up--(App_Lrp2.csv),1.048440484,1.054995284,1.041945766,1.048460511
IVH_7d-[I_II-III-IV]up--(App_Lrp4.csv),1.000730503,0.948235585,0.985780857,0.978248982
IVH_7d-[I_II-III-IV]up--(App_Lrp6.csv),0.827846127,0.829969605,0.812785837,0.823533856
IVH_7d-[I_II-III-IV]up--(App_Lrp8.csv),0.752775672,0.797164402,0.794703776,0.78154795
IVH_7d-[I_II-III-IV]up--(App_Ncstn.csv),0.679071283,0.651839716,0.708452271,0.679787757
IVH_7d-[I_II-III-IV]up--(App_Ngfr.csv),1.022344513,1.044492012,1.023280424,1.030038983
IVH_7d-[I_II-III-IV]up--(App_Notch1.csv),0.815478615,0.823462499,0.888362407,0.842434507
IVH_7d-[I_II-III-IV]up--(App_Notch2.csv),1.010638497,0.93112015,0.980636672,0.974131773
IVH_7d-[I_II-III-IV]up--(App_Sorcs1.csv),0.81719457,0.861418092,0.846216782,0.841609815
IVH_7d-[I_II-III-IV]up--(App_Sorl1.csv),0.607106599,0.530555951,0.672275131,0.60331256
IVH_7d-[I_II-III-IV]up--(App_Tnfrsf21.csv),0.604904808,0.645440881,0.640110698,0.630152129
IVH_7d-[I_II-III-IV]up--(App_Trpc6.csv),0.924613139,0.958792493,0.953384182,0.945596605
IVH_7d-[I_II-III-IV]up--(App_Tspan12.csv),0.793674566,0.777643364,0.827447035,0.799588322
IVH_7d-[I_II-III-IV]up--(App_Tspan15.csv),0.807376562,0.780903646,0.823871373,0.804050527
IVH_7d-[I_II-III-IV]up--(App_Vldlr.csv),0.707017544,0.744980852,0.726265688,0.726088028
IVH_7d-[I_II-III-IV]up--(Calm2_Adcy8.csv),0.780312125,0.734429667,0.762961854,0.759234549
IVH_7d-[I_II-III-IV]up--(Calm2_Cacna1c.csv),0.706365703,0.708596663,0.67536413,0.696775499
IVH_7d-[I_II-III-IV]up--(Calm2_Grm7.csv),0.702392265,0.768838871,0.768048328,0.746426488
IVH_7d-[I_II-III-IV]up--(Calm2_Kcnq3.csv),0.629520068,0.641145579,0.603615814,0.624760487
IVH_7d-[I_II-III-IV]up--(Calm2_Mylk.csv),0.898704803,0.868133783,0.865445984,0.87742819
IVH_7d-[I_II-III-IV]up--(Calm2_Scn10a.csv),0.968821293,0.968088946,1.026786342,0.98789886
IVH_7d-[I_II-III-IV]up--(Calm2_Scn4a.csv),1,1,1,1
IVH_7d-[I_II-III-IV]up--(Calm2_Trpc5.csv),0.976649746,0.981721698,1.036315711,0.998229052
IVH_7d-[I_II-III-IV]up--(Cck_Cckar.csv),0.961788618,0.975049943,1.014110156,0.983649572
IVH_7d-[I_II-III-IV]up--(Cck_Cckbr.csv),0.893171083,0.9308434,0.849845946,0.89128681
IVH_7d-[I_II-III-IV]up--(Hspa8_Aqp2.csv),1.033493744,1.084347133,1,1.039280292
IVH_7d-[I_II-III-IV]up--(Rtn4_Cntnap1.csv),0.624973985,0.571810834,0.655832084,0.617538968
IVH_7d-[I_II-III-IV]up--(Rtn4_Lingo1.csv),0.705220266,0.608070261,0.623924915,0.645738481
IVH_7d-[I_II-III-IV]up--(Rtn4_Ngfr.csv),0.983012954,1.002031144,0.995282046,0.993442048
IVH_7d-[I_II-III-IV]up--(Rtn4_Rtn4r.csv),0.653729466,0.651048716,0.684944068,0.66324075
IVH_7d-[I_II-III-IV]up--(Rtn4_Rtn4rl2.csv),1.016133909,1,1,1.00537797
IVH_7d-[I_II-III-IV]up--(Rtn4_S1pr2.csv),0.983587596,1.052797159,0.994124778,1.010169844
I_RSP,'IVH_7d_110', 'IVH_7d_50', 'IVH_7d_80', 'AVG'
IVH_7d-[I_RSP]up--(Calm2_Adcy8.csv),1.019356708,0.983421401,0.762961854,0.921913321
IVH_7d-[I_RSP]up--(Calm2_Cacna1c.csv),0.860969191,0.841693691,0.67536413,0.792675671
IVH_7d-[I_RSP]up--(Calm2_Grm7.csv),0.940830035,0.963564901,0.768048328,0.890814421
IVH_7d-[I_RSP]up--(Calm2_Kcnq3.csv),0.866321334,0.866768324,0.603615814,0.778901824
IVH_7d-[I_RSP]up--(Calm2_Mylk.csv),0.899720863,0.902104324,0.865445984,0.88909039
IVH_7d-[I_RSP]up--(Calm2_Scn10a.csv),0.950279413,0.945125779,1.026786342,0.974063844
IVH_7d-[I_RSP]up--(Calm2_Scn4a.csv),1,1,1,1
IVH_7d-[I_RSP]up--(Calm2_Trpc5.csv),0.98906754,0.957267143,1.036315711,0.994216798
I_V-VIa-VIb,'IVH_7d_110', 'IVH_7d_50', 'IVH_7d_80', 'AVG'
IVH_7d-[I_V-VIa-VIb]up--(Calm2_Adcy8.csv),0.780312125,0.734429667,0.762961854,0.759234549
IVH_7d-[I_V-VIa-VIb]up--(Calm2_Cacna1c.csv),0.706365703,0.708596663,0.67536413,0.696775499
IVH_7d-[I_V-VIa-VIb]up--(Calm2_Grm7.csv),0.702392265,0.768838871,0.768048328,0.746426488
IVH_7d-[I_V-VIa-VIb]up--(Calm2_Kcnq3.csv),0.629520068,0.641145579,0.603615814,0.624760487
IVH_7d-[I_V-VIa-VIb]up--(Calm2_Mylk.csv),0.898704803,0.868133783,0.865445984,0.87742819
IVH_7d-[I_V-VIa-VIb]up--(Calm2_Scn10a.csv),0.968821293,0.968088946,1.026786342,0.98789886
IVH_7d-[I_V-VIa-VIb]up--(Calm2_Scn4a.csv),1,1,1,1
IVH_7d-[I_V-VIa-VIb]up--(Calm2_Trpc5.csv),0.976649746,0.981721698,1.036315711,0.998229052
IVH_7d-[I_V-VIa-VIb]up--(Hspa8_Aqp2.csv),1.033493744,1.084347133,1,1.039280292
MB_TH,'IVH_7d_110', 'IVH_7d_50', 'IVH_7d_80', 'AVG'
IVH_7d-[MB_TH]up--(Adcyap1_Ramp3.csv),1.181750544,1.142951442,1.200011393,1.17490446
IVH_7d-[MB_TH]up--(Adm2_Ramp3.csv),1,1,1,1
IVH_7d-[MB_TH]up--(Cck_Cckar.csv),0.985240356,0.989451442,0.996337647,0.990343148
IVH_7d-[MB_TH]up--(Cck_Cckbr.csv),0.722852803,0.739643853,0.737261312,0.733252656
IVH_7d-[MB_TH]up--(Fyn_Thy1.csv),1.11149701,1.087402041,1.061223981,1.086707677
IVH_7d-[MB_TH]up--(Iapp_Ramp3.csv),1,1,1,1
IVH_7d-[MB_TH]up--(Ntng1_Lrrc4c.csv),1.275001296,1.288511963,1.240020177,1.267844479
IVH_7d-[MB_TH]up--(Vip_Ramp3.csv),1.036731119,0.942895243,0.913224417,0.964283593
TH_CA1,'IVH_7d_110', 'IVH_7d_50', 'IVH_7d_80', 'AVG'
IVH_7d-[TH_CA1]up--(Apoe_Abca1.csv),1.075243938,1.123782906,1.053459651,1.084162165
IVH_7d-[TH_CA1]up--(Apoe_Ldlr.csv),0.984771428,0.980380003,0.988458942,0.984536791
IVH_7d-[TH_CA1]up--(Apoe_Lrp1.csv),1.063473525,1.2325762,1.032386553,1.10947876
IVH_7d-[TH_CA1]up--(Apoe_Lrp2.csv),0.925868961,0.943933281,0.941785411,0.937195884
IVH_7d-[TH_CA1]up--(Apoe_Lrp5.csv),0.904883713,1.033619372,0.93179146,0.956764849
IVH_7d-[TH_CA1]up--(Apoe_Lrp6.csv),1.083713808,1.092978303,1.011352271,1.062681461
IVH_7d-[TH_CA1]up--(Apoe_Lrp8.csv),1.034601836,1.135270253,1.021447526,1.063773205
IVH_7d-[TH_CA1]up--(Apoe_Scarb1.csv),1.000546213,1.077912292,0.913455564,0.99730469
IVH_7d-[TH_CA1]up--(Apoe_Sdc1.csv),1.040068145,1.090262711,1.067002043,1.065777633
IVH_7d-[TH_CA1]up--(Apoe_Sdc4.csv),1.078169212,1.249625172,1.063318641,1.130371008
IVH_7d-[TH_CA1]up--(Apoe_Sorl1.csv),0.863965582,1.132427001,0.894834441,0.963742342
IVH_7d-[TH_CA1]up--(Apoe_Trem2.csv),0.993661873,1.131482094,0.985496857,1.036880274
IVH_7d-[TH_CA1]up--(Apoe_Vldlr.csv),1.113498465,1.134545812,1.077781635,1.108608637
